,Availability of alcohol,Community and workplace action,Country,Data Source,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year
7,,, Ecuador,,"Approved the Organic Law for Integral Prevention of the Socioeconomic Phenomenon of Drugs and the Regulation and Control of the Use of Catalogued Substances Subject to Auditing. This law includes the creation of the Technical Secretary on Drugs and the Interinstitutional Committee on Drugs, which issues, coordinates and links public policies related to the socioeconomic phenomenon of drugs, as well as the evaluation of the achievement of the institutional goals and objectives of the Technical Secretary on Drugs.  Launched a national, long-term information campaign to reduce the harmful effects of alcohol consumption: i) The Technical Secretary on Drugs implemented the RETUCO programme.  ii)The Public Health Ministry implemented educational communication material such as videos, myths and facts about the consumption of alcohol, tobacco and other drugs, memes for sharing on social media, methodologies for information on alcohol consumption.",,,,2016
8,,, El Salvador,,Proposed elaboration of the National Strategy for Reducing the Harmful Consumption of Alcohol. Launched national campaigns to prevent the harmful consumption of alcohol.,,,,2016
9,,, Grenada,,"Drafted policy, held several consultations, submitted to the Ministry of Health for review and appropriate action.",,,,2016
10,,, Honduras,,The National Congress negotiated the approval of the law to control alcohol.,,,,2016
11,,, Jamaica,,The Ministry of Health in collaboration with the Pan American Health Organisation and World Health Organisation developed a National Framework for Alcohol Policy.,,,,2016
12,,, Mexico,,"Published the Decree to reform and add different provisions of the general health law on alcoholic beverages, in the Official Gazette of the Federation, which considers the creation of a National Anti-Addiction Council, as well as a Program for the Prevention, Reduction and Treatment of Harmful Use of Alcohol, Attention to Alcoholism and the Prevention of Diseases derived from it, and actions to protect the health of third parties and society from the harmful use of alcohol.",,,,2016
13,,, Suriname,,"The Ministry of Health performed an inventory of existing national policies and practices regarding alcohol control. From this inventory, the Ministry used the 10 recommended target areas, listed in the WHO Global Strategy to Reduce the Harmful Use of Alcohol, to identify national gaps in alcohol control. From there, the Ministry drafted an alcohol-control policy document that included a road map to address and rectify these gaps. This policy document was presented for review to a multi-sectoral audience during a national Health in All Policies workshop hosted by the PAHO country office. Audience feedback was then incorporated into this document.",,,,2016
14,,, Trinidad and Tobago,,Established the Inter-Ministerial Committee in August 2015.,,,,2016
15,,, United States of America,,Released the Interagency Coordinating Council for Prevention of Underage Drinking (ICCPUD) 2015 Report to Congress on Underage Drinking (mandated by the Sober Truth on Preventing Underage Drinking (STOP) Act of 2006). Released the 2015-2020 Dietary Guidelines for Americans (DGA) including information on alcohol.,,,,2016
16,,, Venezuela (Bolivarian Republic of),,"Launched a new alcohol strategy with the parliamentary committee, the intergovernmental working group and the national advisory group dealing with alcohol issues.",,,,2016
17,,, Canada,,Passed a new statute (not yet in force) to implement some of the recommendations from the Liquor Policy Review.,,,,2015
18,,, Colombia,,"Established provisions for Public Health Authority and for  the implementation, monitoring and evaluation of the Public Health Plan for group interventions (PIC).",,,,2015
19,,, Costa Rica,,"Led workshop to validate the ""Alcohol control policy"" by defining the priority interventions to improve public health, and to advance the formulation of an action plan for Costa Rica's alcohol control policy (2016-2019), in the framework of the Global Strategy to Reduce the Harmful Use of Alcohol.",,,,2015
20,,, Cuba,,Media education campaign for preventing the harmful use of alcohol.,,,,2015
21,,, Grenada,,Completed drafting the policy from the Regional Meeting.,,,,2015
22,,, Honduras,,Created legislation to restrict sales of alcohol from 5pm on Sundays to 6am on Mondays.,,,,2015
23,,, Panama,,Organized intersectoral meetings to tackle the issue of alcoholism.,,,,2015
24,,, Saint Lucia,,Collated legal instruments and policy regarding the use of Alcohol in Saint Lucia. Reviewed best practices in alcohol policy implementation.,,,,2015
25,,, Saint Vincent and the Grenadines,,Engaged in a dialogue on the development of alcohol policy.,,,,2015
26,,, Suriname,,Developed an alcohol policy brief: an overview of existing alcohol policies and alcohol practices in Suriname. Started drafting a preliminary National Alcohol policy and plan of action.,,,,2015
27,,, Trinidad and Tobago,,Developed a National Alcohol Policy.,,,,2015
28,,, Uruguay,,"Created an intersectoral commission around public policies for alcohol, directly under the President.",,,,2015
29,,, Canada,,The Province of British Columbia conducted a Liquor Policy Review.,,,,2014
30,,, Costa Rica,,"Led workshop on the use of information for the development of policies and programmes for alcohol, in collaboration with AMRO/PAHO.",,,,2014
31,,, Dominican Republic,,Strengthened the Alcohol Cluster.,,,,2014
32,,, El Salvador,,"FOSALUD maintains a permanent education campaign on the health effects of harmful alcohol use, targeting children and adolescents, health professionals and risky drinkers (2014 theme: ""Alcohol deceives you"" [""El alcohol te engaña""]).",,,,2014
33,,, Grenada,,Drafted the policy from the Regional Meeting.,,,,2014
34,,, Nicaragua,,Created a citizen and human security strategy.,,,,2014
35,,, Peru,,Created Budgetary Program 131 for control and prevention in the area of mental health.,,,,2014
36,,, Saint Lucia,,Collated legal instruments and policy regarding the use of alcohol in Saint Lucia.,,,,2014
37,,, Suriname,,Launched information campaign 'Ya no mi basi!' on the dangers of alcohol by the Ministry of Health.,,,,2014
38,,, Uruguay,,"Held ""First International Symposium: New approaches to the alcohol problem"", organized by the National Drug Board (JND) and the School of Medicine of the University of the Republic of Uruguay (UDELAR). Held Semi-Presential Course and Regional Workshops in ""Brief Interventions and AUDIT and ASSIST Tools"" organized jointly with the MSP and with the support of PAHO and WHO.",,,,2014
39,,, Colombia,,Created a guide for strategic plans for the promotion of responsible consumption of alcohol.,,,,2013
40,,, Dominican Republic,,Published guidelines for reducing alcohol consumption in parents.,,,,2013
41,,, El Salvador,,"FOSALUD is a permanent educational campaign directed towards children and adolescents, health professionals and risky drinkers regarding the health effects of harmful alcohol consumption (2013 theme: Alcohol is winning the race [""El Alcohol te está ganando la batalle""]). Created new technical guidelines for psychoactive substance abuse prevention services.",,,,2013
42,,, Grenada,,Regional Meeting organized by PAHO on policy formulation.,,,,2013
43,,, Jamaica,,Cabinet approved a National Strategic and Action Plan for the Prevention and Control of NCDs including strategy for addressing harmful use of alcohol.,,,,2013
44,,, Cuba,,Organised national workshops for implementing the Alcohol Use Disorders Identification Test (AUDIT).,,,,2012
45,,, Dominican Republic,,Created a guide and protocol for alcohol and drugs.,,,,2012
46,,, Uruguay,,"Revised, updated and printed a guide for preventing alcohol and other drug use in the workplace. Strengthened the alcohol policy by developing a national strategy for reducing the harmful use of alcohol. Its main targets include regulation, control of the production, distribution and sale of alcohol; awareness and prevention; creation of a national care system for harmful alcohol use and a very clear regulation of advertisement. Also includes a consultation period for civil society.",,,,2012
47,,, Cuba,,"Aligned Resolutions 28, 29 and 30 with Law 109 regarding Public Health Ministry (MINSAP) .",,,,2011
48,,, Suriname,,Formalised NCD Action plan 2012-2016. Defined objective: Promote and support reduction of risk factors related to tobacco and alcohol use.,,,,2011
49,,, Canada,,"Developed The National Alcohol Strategy Advisory Committee (NASAC), a multi-stakeholder committee co-chaired by the Canadian Centre on Substance Abuse, MADD Canada, and the Nova Scotia Department of Health and Wellness to pursue the implementation of recommendations under the report 'Reducing Alcohol-Related Harm in Canada: Toward a Culture of Moderation: Recommendations for a National Alcohol Strategy'. NASAC advanced the implementation of recommendations in the priority area of action alcohol pricing.",,,,2010
50,,, Chile,,Published the National Alcohol Strategy.,,,,2010
51,,, Colombia,,"Adopted legislation with measures regarding alcohol consumption, FASD prevention and consumption during pregnancy. Defined  revenues allocated for health, and adopted measures to promote activities that generate resources for health.",,,,2010
52,,, Cuba,,Created the Mental Health Division.,,,,2010
0,,,Cambodia,,Submitted the Draft Law on Alcohol Products Control to the Council of the Ministers for approval.,,,,2016
1,,,Japan,,Developed and released a National Action Plan.,,,,2016
2,,,Lao People's Democratic Republic,,"Held advocacy event and workshop for policy makers, students and  public on the harmful use of alcohol.",,,,2016
3,,,Malaysia,,"Created new legislation and a scheme for the better enforcement of existing alcohol legislation as well as the 	publication of a major report on alcohol. Made changes in excise duties of alcohol, together with 	major changes in licensing systemsand age limits to restrict the availability of alcohol. Issued national guidelines on community action, prevention, screening and brief interventions treatment and  training on alcohol use disorders for health professionals. Offered public funding for a nationwide action project on alcohol.",,,,2016
4,,,Marshall Islands,,"A 1994 act prohibits and controls the sale, use, consumption and production or possession of alcoholic beverages and provides statutory authority for municipalities to administer the prohibition and control of alcoholic beverages.",,,,2016
5,,,New Zealand,,Lauched a Fetal Alcohol Spectrum Disorder (FASD) Action Plan in August 2016.,,,,2016
6,,,Philippines,,"Drafted 2017-2025 strategic plan on Lifestyle Related Diseases addressing the risk factors incluing alcohol  Commission on Higher Education, Department of Labor and Employment and Civil Service Commission issued guidelines on restricting alcohol use in schools, workplace and communities. 	Approval of the Administrative Order # 0039-2016 dated Oct 28, 2016 of the Revised Operational Framework for a Comprehensive National Mental Health Program where alcohol is include Included advocacy on alcohol and rehabilitation of alcohol disorder by the Dangerous Drug Board. Developed a draft of guidelines on the Prevention and Control of Harmful Use of Alcohol.",,,,2016
7,,,Vanuatu,,Revised and launched new alcohol strategy and action plan.,,,,2016
8,,,Japan,,Held an awareness week for alcohol-related problems.,,,,2015
9,,,Malaysia,,Drafted the amendment of the food regulation in 1985 to regulate Compounded Hard Liquors.,,,,2015
10,,,Mongolia,,"Conducted the national ""No Alcohol in Mongolia"" conference on 11th November 2015.",,,,2015
11,,,New Zealand,,"Launched the National Drug Policy 2015-2020, which sets government policy for alcohol and other drugs (AOD).",,,,2015
12,,,Solomon Islands,,Reviewed legislation on alcohol use and established a task force.,,,,2015
13,,,Viet Nam,,Established a cross-government working group. Established the National Steering Committee for alcohol related harms reduction and a national strategy on NCD prevention and control.,,,,2015
14,,,Australia,,"The Government has committed to give funding for the implementation of the National Fetal Alcohol Spectrum Disorders (FASD) Action Plan.  Key priority activities under the Action Plan which are underway include: 	the finalisation of a FASD Diagnostic To, the 	establishment of a FASD Technical etwork, and 	development of a FASD Prevention and Health promotion resource for Aboriginal and Torres Strait Islander women.",,,,2014
15,,,Japan,,Created an awareness week for alcohol-related problems.,,,,2014
16,,,Malaysia,,Launched Malaysia Alcohol Control Action Plan 2013-2020.,,,,2014
17,,,New Zealand,,"Gave recommendations on Alcohol Advertising and Sponsorship. The Government released its response to the Health Select Committee report into child health, including its response to the Committee's recommendations regarding alcohol. The Government announced it would produce an action plan to address Fetal Alcohol Spectrum Disorder.",,,,2014
18,,,Singapore,,"Budget Speech, 2014.",,,,2014
19,,,Viet Nam,,Created a new national policy on alcohol use.,,,,2014
20,,,Cambodia,,Launched the National Policy and Strategic Plan for the reduction of alcohol use.,,,,2013
21,,,Japan,,Commenced the second term of the National Health Promotion Movement in the 21st century (Health Japan 21) (to March 2022).,,,,2013
22,,,Malaysia,,Malaysia's Alcohol Control Action Plan 2013-2020.,,,,2013
23,,,New Zealand,,"The Health Select Committee presented to Parliament their report into improving child health outcomes and preventing child abuse. The report contains over 130 recommendations, including some relating to alcohol advertising and sponsorship, and Fetal Alcohol Spectrum Disorder.",,,,2013
24,,,Australia,,One million brochures distributed through alcohol outlets at the point of sale to promote the Guidelines' message regarding alcohol use during pregnancy and breastfeeding.,,,,2012
25,,,China,,Created a national plan for NCD control and prevention.,,,,2012
26,,,Solomon Islands,,Commenced review of the Liquor Act.,,,,2012
27,,,China,,Published core information for promoting a healthy lifestyle.,,,,2011
28,,,New Zealand,,Health Promotion Agency established (a new Crown entity with functions that include alcohol).,,,,2011
29,,,Republic of Korea,,"Updated national alcohol action plan developed in 2006. The Bluebird Plan 2020 describes vision, objectives, and activities the government should implement to reduce harms associated with alcohol use by the year of 2020. However, the plan failed to secure parliamentary endorsement and enough financial resources to implement in full.",,,,2011
30,,,Australia,,Increased funding for the National Binge Drinking Strategy.,,,,2010
31,,,Malaysia,,Created a Healthy Lifestyle Campaign including 'live healthy without alcohol'.,,,,2010
32,,,Solomon Islands,,Drafted the National Alcohol Strategy and Action Plan.,,,,2010
0,,Implemented the mhGAP Intervention Guide in 3 provinces., Afghanistan,,,,,,2016
0,,Created alcohol-free communities., Kiribati,,,,,,2016
1,,"Issued national guidelines on community action, prevention, screening and brief interventions treatment.", Vanuatu,,,,,,2016
2,,Initiated a community-based alcohol prevention programme., Malaysia,,,,,,2014
3,,Issued guidelines for alcohol-screening and intervention for a community-based project., Malaysia,,,,,,2013
4,,Recovery programme and training conducted with churches., Solomon Islands,,,,,,2013
0,,, Sweden, link,,,,Excise tax increasw on spirits 1% and on wine and beer 4%.,2017
1,,, Lithuania, link,,,,Launch of a plan to increase excise duty for four years.,2016
2,,, Lithuania, link,,,,"Launch of the State Public Health Promotion Foundation, funded by alcohol and tobacco excise taxes (came in to force on 1 January 2016).",2016
3,,, Portugal,  ,,,,The excise duty shall be annually revised in accordance with the procedure laid down by the State Budget Law,2016
4,,, Republic of Moldova,  ,,,,"Draft of the Tax Policy Law 2017 provides for the following: No excise exemption for non-denaturated ethyl alcohol which is used by taxable entities dealing both in manufacturing cosmetics and manufacturing and selling alcoholic beverages. The change is aimed at preventing application of the excise exemption for non-denaturated ethyl alcohol to products used for purposes other than those of cosmetics manufacturing. It is proposed to adjust the excise rates, which are fixed sums for alcoholic beverages, by the inflation rate projected for 2017-2019 (5%). It is proposed also in the middle term to harmonize excise rates for alcoholic beverages with EU Directives.",2016
5,,, Russian Federation,  ,,,,"On 1 June 2016, the minimum retail price for 0.5 litres of vodka was raised to 200 rubles.",2016
6,,, Slovenia, link,,,,"Excise Duty Act 2016: Article 71 (Excise duty base and the amount of excise duty: a) the excise duty base for wine and other fermented and intermediate beverages shall be the quantity of excise products, measured in hectolitres, while for beer and ethyl alcohol, it shall be the total alcoholic  strength of one hectoliter; b) excise duty shall be paid in the amount of:  EUR 12.10 for 1 vol. % alcohol for one hectolitre of beer; EUR 0 for one hectolitre of still wine; EUR 0 for one hectolitre of sparkling wine; EUR 0 for one hectolitre of other fermented beverages; EUR 132.00 for one hectolitre of intermediate beverages; EUR 1,320.00 for 100 vol. % of alcohol for one hectolitre of ethyl alcohol.Introduced increased quantities of wine and beer for own use (600 litres of wine/household/per year, 500 litres of beer/household/per year).",2016
7,,, Turkey, link,,,,"In 2012, by Article 12 of the Special Consumption Tax Law No.4760, the Council of Ministers is authorized to determine tax arrangements for spirits. By this authority, different tax rates based on the degree of alcohol, the amount of alcohol and the minimum tax amount are determined twice a year. In this context, tax regulation was carried out two times a year in 2016.",2016
8,,, United Kingdom of Great Britain and Northern Ireland, link,,,,Publication of the revised Her Majesty's Revenue and Customs (HMRC) Alcohol Strategy in March 2016.,2016
9,,, Bosnia and Herzegovina,  ,,,,Increase in the excise taxes on alcohol.,2015
10,,, Greece,  ,,,,Increase in alcohol taxation. Introduced taxes on wine (Ministerial Decision B 5026381/2015 of the Ministry of Economy).,2015
11,,, Hungary, link,,,,"The modification of Act CXXVII of 2003 on Excise Duties and Special Regulations on the Distribution of Excise Goods resulted in: a) a modification of the definition of “private distillation,” which presently denotes production of a maximum of 50 litres of pure alcohol per year using private distilling equipment with a maximum volume of 100 litres in the private distiller’s place of residence or orchard by the private distiller; and b) an increase in the tax levied on subcontracted distilled beverages made of raw material of the owner.",2015
12,,, Hungary, link,,,,"Modification of Act CIII of 2011 on Public Health Product Tax: newly established point i) of article 2 of the Act levies a health product tax to be paid on alcohol products (spirits) with the exception of distilled fruits beverages (Palinka) and spirits containing a minimum of seven medicinal herbs. Some alcoholic beverages, such as flavoured beer and alcoholic refreshments (alco-pops), have been under the public health product tax since 2012. Point h) of article 6 applies differentiated grading on alcoholic drinks according to their pure alcohol content as per volume percent (v/v %): higher than 1,2 v/v % and not higher than 5 v/v % HUF: 20 per litre; higher than 5 v/v % and not higher than 15 v/v % HUF: 100 per litre; higher than 15 v/v % and not higher than 25 v/v % HUF: 300 per litre; higher than 25 v/v % and not higher than 35 v/v % HUF: 500 per litre; higher than 35 v/v % and not higher than 45 v/v % HUF: 700 per litre; higher than 45 v/v % HUF 900 per litre.",2015
13,,, Latvia, link,,,,Increases in excise duties on alcohol (“Likums par Akcīzes nodokli” [“Law on excise duty”]).,2015
14,,, Republic of Moldova, link,,,,"Amendment to the Fiscal code of the Republic of Moldova, increasing the excise tax on alcohol.",2015
15,,, Romania, link,,,,"Law 227/08.09.2015, published in the Official Monitor of Romania no. 688/10.09.2015 concerning the Fiscal Code that will come into force on 1 January 2016. Section 4 of the Fiscal Code regulates alcohol and alcoholic beverages, especially the level of excise duty tax. In general, the excise duty tax decreased for all types of alcoholic beverages.",2015
16,,, Russian Federation,  ,,,,Introduction of a reduced excise duty on wines with a protected designation /geographical indication.,2015
17,,, Sweden, link,,,,Excise tax increase on spirits 1% and on wine and beer 9%.,2015
18,,, Tajikistan,  ,,,,Excise taxes on alcohol were increased.,2015
19,,, Turkey, link,,,,"In 2012, by Article 12 of the Special Consumption Tax Law No.4760, the Council of Ministers is authorized to determine tax arrangements for spirits. By this authority, different tax rates based on the degree of alcohol, the amount of alcohol and the minimum tax amount are determined twice a year. In this context, tax regulation was carried out two times a year in 2015.",2015
20,,, Turkmenistan,  ,,,,"Increase in excise taxes. Article 119 ""The list of excisable goods and excise rates"". In the edition of the law of Turkmenistan of 10 May 2010. Decree of the President of Turkmenistan No. 14413 of 23 September 2015 ""Starting from 01.04.2016 to introduce marking imported into Turkmenistan for the purpose of selling tobacco products and alcoholic beverages, as well as additional alcoholic beverages produced in Turkmenistan.""",2015
21,,, United Kingdom of Great Britain and Northern Ireland,  ,,,,Excise Movement and Risk Analysis introduced in 2015.,2015
22,,, United Kingdom of Great Britain and Northern Ireland, link,,,,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,2015
23,,, Uzbekistan,  ,,,,Ministry of Finance of the Republic of Uzbekistan Regulation No. 102 of 3 December 2015 and Tax Committee of the Republic of Uzbekistan Regulation No. 2015-34 of 3 December 2015 on Revision of Minimum Wholesale and Retail Prices on Alcohol Products.,2015
24,,, Russian Federation, link,,,,"Decree of the Russian Service for Alcohol Market Regulation from 25.12.2014 № 409 ""On the pricing, which is carried out not less than the purchase (excluding imports), supplies (except for exports) and retail sale of alcoholic beverages fortress over 28 percent"".  Since 1 February 2015, the minimum retail price for a 0.5-litre bottle of vodka has been reduced from 220 RUR to 185 RUR.",2014
25,,, Russian Federation, link,,,,"The Treaty on the EEU included the following provisions: countries’ ability to regulate prices on vodka, liquor and other alcoholic beverages (≥28%) (minimal price) (paragraph 85); harmonization (convergence) of excise tax rates for the most sensitive excisable goods (paragraph 71); according to point 14 of the List of sectors (subsectors) of services in which the single market of services within the framework of the EEU is functioning, approved by the Decision of the Supreme Eurasian Economic Council of 23 December 2014 No. 110, and also in accordance with the Decision of the Supreme Eurasian Economic Council of 23 December 2014 No. 112, services in the retail sale of ethyl alcohol, alcohol and alcohol-containing products are an exception to the single market within the framework of the EEU.",2014
26,,, Russian Federation, link,,,,"The Treaty on the Eurasian Economic Union (EEU), signed in Astana on 29 May 2014. The list of sectors (subsectors) of services, which operate a single market for services within the framework of the EEU, was approved by the decision of the Supreme Eurasian Economic Council from 23.12.2014 N 110, and according to the decision of the Supreme Eurasian Economic Council of 23.12.2014 N 112.",2014
0,,, El Salvador,,,,Published the National Alcohol Survey 2014. Developed the Alcohol Control Information System.,,2016
1,,, Costa Rica,,,,"Commissioned article to summarize the principal findings of a study done in two Class A hospitals in Costa Rica: ""Alcohol and Injury: study in two national hospital-crossed cases of Costa Rica.",,2015
2,,, Mexico,,,,Issued a national survey on drug and alcohol use in students.,,2015
3,,, Saint Lucia,,,,Developed a data collection instrument and associated indicators for monitoring harm due to alcohol.,,2015
4,,, United States of America,,,,"The CDC Alcohol Program released a study on the ""2010 National and State Costs of Excessive Alcohol Consumption"" in the American Journal of Preventive Medicine (AJPM).",,2015
5,,, Uruguay,,,,Commenced a pilot study on drug use in university students in Uruguay. Disseminated the VI National Household Survey on Drug Use.,,2015
6,,, El Salvador,,,,Conducted the Annual Report 2014.,,2014
7,,, Saint Lucia,,,,Conducted a survey of secondary school population.,,2014
8,,, El Salvador,,,,Conducted the Annual Report 2013.,,2013
9,,, Saint Lucia,,,,Survey conducted on prevalence among women: Multi-Indicator Cluster Survey 2012.,,2012
10,,, Uruguay,,,,Created a global survey on adolescence: 'Adolescence: a world of questions.',,2012
11,,, Canada,,,,"CCSA produced a report analyzing national data to compare drug and alcohol motor vehicle fatalities to better understand the scope of the impact of alcohol-impaired driving,",,2011
12,,, Dominican Republic,,,,Issued a population-based survey on gender and alcohol.,,2011
13,,, Mexico,,,,Registered a national addiction survey to evaluate the problematic consumption of alcohol.,,2011
14,,, Uruguay,,,,Disseminated the 5th national survey in households on drug use.,,2011
15,,, Costa Rica,,,,Conducted a national survey among 12-70 year-olds in households on drug consumption. Found a small reduction in levels of consumption for all ages.,,2010
16,,, Dominican Republic,,,,Issued a population-based survey on gender and alcohol.,,2010
17,,, Panama,,,,Completed an interdisciplinary study on alcohol and related injuries.,,2010
18,,, Uruguay,,,,"Released a subregional report on drug use among students. Second joint study: Information for Designing National and Regional Strategies for Problematic Drug Use in Youth 2009 / 2010. Released a report on drug consumption in prison populations and the relationship between crime and drugs. Released: Subregional Information and Research System on Drugs in Argentina, Bolivia, Chile, Colombia, Ecuador, Peru and Uruguay 2010. Released a report on the relationship between drugs and crime in case of adolescents breaking the law, the experience of Bolivia, Chile, Colombia, Peru and Uruguay. Released: Subregional Information and Research System on Drugs in Argentina, Bolivia, Chile, Colombia, Ecuador, Peru and Uruguay 2010. Released a report on drug use in emergency consultants in Montevideo's Pasteur Hospital.",,2010
0,,, Sweden, link,"National Commission for Equality in Health. The end report included two concrete propositions for the alcohol area: i) Alcoholic beverages excise tax rate to be revised yearly and linked to inflation, ii) Sweden to work in EU for a Framework Convention on Alcohol Control.",,,,2015-2017
1,,, Austria, link,Plan to harmonize youth protection regulations across all states is included in the government programme (December 2017),,,,2017
2,,, Austria, link,"First “Dialogwoche Alkohol”: universal prevention campaign across Austria, 15–21 May 2017",,,,2017
3,,, Germany, link,The national prevention and awareness raising campaign “Alkohol? Kenn Dein Limit” [“Know your limit”] was relaunched in 2017.,,,,2017
4,,, Luxembourg,  ,"First alcohol prevention week in German-speaking countries (Luxembourg, Germany, Austria and Lichtenstein)",,,,2017
5,,, Austria,  ,Adoption of the first written National Strategy on the Prevention of Addiction by the Ministers' Council on 26 January 2016.,,,,2016
6,,, Belarus, link,"A Decree of the Council of Ministers dated 09.06.2016 №445 ""On the Interdepartmental Council on the formation of a healthy lifestyle, control of noncommunicable diseases, prevention of alcoholism, drug addiction and consumption of tobacco and tobacco products under the Council of Ministers of the Republic of Belarus.",,,,2016
7,,, Belarus, link,"A Decree of the Council of Ministers dated 14.03.2016 №200 on approval of the State program ""Health of the Nation and the demographic security of the Republic of Belarus"" 2016–2020.",,,,2016
8,,, France, link,Rapport de la cour des comptes sur les politiques alcool [Report of the Court of Auditors on policies against harmful consumption of alcohol].,,,,2016
9,,, Israel,  ,The Alcohol National Strategy Programme was audited by the government auditor office.,,,,2016
10,,, Lithuania, link,Launch of an action plan to address alcohol-related problems and the establishment in Parliament of a permanent Commission for the Prevention of Drug and Alcohol Addiction.,,,,2016
11,,, Luxembourg,  ,A written national policy is being developed. It is currently being validated by the Government (Council of Government) and the Minister of Health.,,,,2016
12,,, Malta,  ,A draft national policy has been published and is currently being circulated for public consultation.,,,,2016
13,,, Montenegro,  ,Law on wine.,,,,2016
14,,, Portugal,  ,Revision/launch of a new alcohol strategy/action plan.,,,,2016
15,,, Russian Federation,  ,"The concept of informing the population of the Russian Federation about the dangers of alcohol abuse (Russian Ministry of Health Order from 30.06.2016 N 448 ""On Approval of the Concept of the Russian Federation to inform people about the dangers of alcohol abuse"") was developed in accordance with the plan of measures on stabilization of the situation and the development of competition in the alcoholic market (the order of the Government of the Russian Federation dated 26 November 2015 № 2413-p), the Concept of implementation of the state policy to reduce the abuse of alcoholic beverages, and prevention of alcoholism among the population of the Russian Federation for the period until 2020 (decree of the Russian Government dated 30 December 2009 . № 2128-p), and the national security Strategy of the Russian Federation (approved by Presidential Decree of December 31, 2015 № 683).",,,,2016
16,,, Slovenia, link,"The 7th European alcohol policy conference (7EAPC) was hosted by the Ministry of Health in Slovenia and co-organized by the European Alcohol Policy Alliance in November 2016.  The theme of 7EAPC was alcohol policy for sustainable development. 7EAPC was attended by 278 representatives from 48 countries. The conference was attended by high-level officials from most European countries, the World Health Organization and the European Commission. The two days were full of plenary sessions and workshops, most of which focused on developments within the sub-themes of alcohol inequalities and innovative approaches.",,,,2016
17,,, Spain, link,Finalization of the Action Plan on Drugs (2013–2016),,,,2016
18,,, Spain, link,Participation in the “Listen first” marketing campaign.,,,,2016
19,,, Spain, link,"Launch of the “Healthy Lifestyles” website of the Spanish Ministry of Health. The purpose is to provide citizens with information and web resources about healthy lifestyles, including avoiding harmful alcohol consumption.",,,,2016
20,,, Sweden, link,"A revised national strategy for Alcohol, Narcotics, Doping and Tobacco (ANDT) Policy was adopted in February 2016, for the period 2016–2020.",,,,2016
21,,, Switzerland, link,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024,,,,2016
22,,, Switzerland, link,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.,,,,2016
23,,, United Kingdom of Great Britain and Northern Ireland,  ,Scotland: Scottish Government is currently undertaking a formal review of the Child Protection system in Scotland which will make recommendations by the end of 2016.,,,,2016
24,,, United Kingdom of Great Britain and Northern Ireland, link,"England: Public Health England’s “One You” campaign, launched 2016, aims to motivate people to take steps to improve their health through action on the main risk factors, such as smoking, inactivity, obesity, and alcohol consumption.  It provides a Drinks Tracker app to help drinkers identify risky behaviour and lower their alcohol consumption.",,,,2016
25,,, United Kingdom of Great Britain and Northern Ireland, link,Wales: Publication of the substance misuse delivery plan: “Working together to reduce harm: delivery plan 2016-2018.”,,,,2016
26,,, United Kingdom of Great Britain and Northern Ireland, link,Northern Ireland: Alcohol awareness week runs in June.,,,,2016
27,,, Azerbaijan, link,"The Azerbaijan National Strategy for the Prevention and Control Of NCDs 2015–2020 was approved by the President of Azerbaijan in December 2015. The Strategy includes objectives related to implementing efficient and equity-based interventions in order to reduce the main modifiable risk factors for NCDs: tobacco use, harmful use of alcohol, unhealthy diet and physical inactivity. The Action Plan has a separate component related to alcohol (9.2.1.2 - Reducing harmful use of alcohol). The specific activating include to revise and update the legislation with special emphasis on the following: restricting the access of children to retailed alcohol; ensuring the enforcement of restrictions and bans on alcohol advertising; ensuring the enforcement of the ban on drink-driving; raising taxes on alcohol; updating a price/sale policy on alcohol; and conducting educational events at educational institutions about the negative impact of alcohol on health.",,,,2015
28,,, Croatia,  ,"The national campaign “Turn on your conscience - sometimes you need to say NO to children” was initiated by members of the Croatian Chamber of Commerce Association of beer malt and hop producers, in collaboration with the Ministry of Health. The campaign calls for the consistent implementation of the law banning the consumption of alcohol by and sale of alcoholic beverages to persons under 18 years",,,,2015
29,,, Cyprus, link,Cyprus Anti-Drugs Council provides funding for national prevention programmes for the reduction of alcohol-related harm,,,,2015
30,,, Czechia,  ,Launch of the National Action Plan Against the Harmful Effects of Alcohol,,,,2015
31,,, Finland, link,"Ehkäisevän päihdetyön toimintaohjelma. Alkoholi-, huume- ja rahapelihaittojen sekä tupakoinnin vähentäminen. Sosiaali- ja terveysministeriö, 2015 [Action Plan to prevent harms from alcohol, tobacco, drugs and gambling. Ministry of Social Affairs and Health, 2015]. The action plan, which runs from 2016-2025, builds on the preceding national alcohol programme and integrates prevention activities across substances/addictions.",,,,2015
32,,, Finland, link,"Laki ehkäisevän päihdetyön järjestämsiestä, No. 523/2015 [Act on organizing alcohol, tobacco, drugs and gambling prevention]. The Act gave a legal basis to the regional coordination structure established in 2011 and to the national lead role of the Institute for Health and Welfare. The Act established common standards for the multi-actor work organized at the local level by municipalities.",,,,2015
